h_team,a_team,time,h_score,a_score,cancelled,h_shots,h_shots_on_target,h_possession,h_tackles,h_fouls,h_corners,h_shot_acc,h_pass_acc,a_shots,a_shots_on_target,a_possession,a_tackles,a_fouls,a_corners,a_shot_acc,a_pass_acc,filename,h_penalty_score,a_penalty_score
tmMiLK CF,Tjappies FC,34.29,-1,-1,True,2,2,40,2,0,0,100,86,5,4,60,6,2,0,80,86,WL-6.jpg,,
Tjappies FC,VfL Dreamteam,63.52,-1,-1,True,3,3,58,12,1,0,100,87,2,2,42,13,1,1,100,90,WL227.jpg,,
GoD BLeSs,Tjappies FC,120:00,2,4,False,8,7,48,16,1,3,87,87,13,8,52,21,2,2,61,87,WL192.jpg,,
fc goallassoo,Tjappies FC,45.00,-1,-1,True,2,1,47,1,1,0,50,91,4,2,53,5,1,0,50,95,WL233.jpg,,
stelios,Tjappies FC,20:55,-1,-1,True,0,0,46,1,0,0,0,76,2,2,54,5,0,1,100,85,WL186.jpg,,
Tjappies FC,FCNACRACOVICqq,90:00,3,1,False,7,4,55,6,0,1,57,91,4,2,45,5,0,1,50,87,WL151.jpg,,
1PLIKATION,FCT x BVB,90:00,2,4,False,3,3,46,8,2,0,100,86,6,6,54,8,2,3,100,85,10-11-2020_16-35-50-t3jpwv10.png,,
Tjappies FC,FC Dybalouch,28.20,-1,-1,True,2,2,53,2,0,0,100,93,1,0,47,2,0,1,0,92,WL145.jpg,,
Tjappies FC,Team xFoley,120:00,-1,2,False,8,6,45,13,0,1,75,94,5,4,55,8,1,0,80,94,WL179.jpg,0.0,0.0
Tjappies FC,TUS 1860 STERRE,90:00,7,0,False,12,11,47,14,1,1,91,90,2,1,53,12,1,1,50,84,WL-23.jpg,,
Chelsea,Tjappies FC,90:00,1,5,False,3,3,44,16,1,2,100,78,14,10,56,16,2,1,71,91,WL78.jpg,,
Beast Xl,Tjappies FC,90:00,1,2,False,5,4,49,9,0,0,80,86,8,6,51,10,2,1,75,89,WL-37.jpg,,
La Bella Gente,Tjappies FC,120:00,-1,3,False,7,7,51,13,2,1,100,89,6,4,49,9,2,2,66,90,WL353.jpg,0.0,0.0
Parla Cf,Tjappies FC,90:00,2,0,False,10,8,61,2,0,4,80,95,2,1,39,17,1,1,50,85,WL93.jpg,,
Tjappies FC,Ctrl Alt DeLigt,65.54,-1,-1,True,11,9,60,8,0,5,81,90,1,1,40,5,0,0,100,86,WL87.jpg,,
ALBY IF,Tjappies FC,32.06,-1,-1,True,2,0,47,4,0,1,0,88,3,3,53,6,0,0,100,92,WL347.jpg,,
FC Rave,Tjappies FC,90:00,1,3,False,5,3,46,11,1,2,60,89,10,8,54,11,2,2,80,93,WL4.jpg,,
The BeefPasties,Tjappies FC,4.40,-1,-1,True,0,0,41,0,0,0,0,91,1,1,59,3,0,0,100,85,FIFA 21 FUT Champions (In Menus)_71.jpg,,
ac,Tjappies FC,2.07,-1,-1,True,0,0,13,1,0,0,0,33,1,1,87,1,0,0,100,100,FIFA 21 FUT Champions (In Menus)_65.jpg,,
Green Brigade,Tjappies FC,14.49,-1,-1,True,1,0,44,0,0,0,0,92,3,2,56,2,0,0,66,92,WL5.jpg,,
1 Fc Koeln,Tjappies FC,90:00,1,2,False,4,4,50,9,2,1,100,88,3,2,50,7,5,1,66,84,WL86.jpg,,
HARVEY FC,FCT x BVB,17.01,-1,-1,True,0,0,42,3,1,0,0,88,2,2,58,2,0,0,100,96,10-11-2020_16-35-42-s4etg1gd.png,,
Tjappies FC,Despa City,90:00,1,2,False,10,5,55,8,0,4,50,88,5,4,45,9,1,2,80,86,WL346.jpg,,
Tjappies FC,Unterstall,76.24,-1,-1,True,2,2,45,11,0,0,100,91,0,0,55,11,0,1,0,88,WL352.jpg,,
FC OILTJERT,Tjappies FC,120:00,5,74,False,9,7,59,13,1,1,77,90,6,5,41,12,2,1,83,88,FIFA 21 FUT Champions (In Menus)_59.jpg,,
ASM red ,Tjappies FC,90:00,0,1,False,4,4,49,9,3,1,100,86,3,3,51,6,1,3,100,84,WL92.jpg,,
Tjappies FC,SjuulMonster,90:00,4,1,False,9,7,58,20,1,0,77,92,1,1,42,20,0,0,100,87,WL-36.jpg,,
Tjappies FC,TheMau13,90:00,1,0,False,4,3,48,11,1,0,75,89,7,4,52,15,1,3,57,94,WL-22.jpg,,
Tjappies FC,castilla fc,17.44,-1,-1,True,5,5,66,4,0,0,100,96,0,0,34,4,0,0,0,82,WL332(1).jpg,,
Tjappies FC,Random FU,31.53,-1,-1,True,3,3,59,6,0,0,100,90,2,1,41,6,0,1,50,84,WL178.jpg,,
VyprostovakSVK,Tjappies FC,120:00,-1,71,False,1,1,51,24,2,2,100,89,4,2,49,10,2,3,50,91,WL144.jpg,0.0,0.0
Tjappies FC,Stoke Stysiu,22:18,-1,-1,True,3,2,61,1,0,1,66,94,0,0,39,3,0,0,0,84,WL150.jpg,,
FCT x BVB,Ethans Xl,37.20,-1,-1,True,3,3,60,5,1,0,100,88,0,0,40,7,0,0,0,76,10-11-2020_16-35-40-hbck5m2s.png,,
Eintrachtfalk,Tjappies FC,73.48,-1,-1,True,5,5,48,1,1,3,100,84,12,9,52,5,1,5,75,89,WL187.jpg,,
FC MOSB,Tjappies FC,90:00,0,4,False,3,2,44,9,0,1,66,88,8,6,56,13,0,1,75,88,WL-7.jpg,,
GET U MAD,Tjappies FC,33:38,-1,-1,True,0,0,48,4,0,0,0,88,4,4,52,3,0,1,100,91,WL193.jpg,,
Nordic United,FCT x BVB,90:00,2,4,False,7,5,56,12,0,1,71,89,10,8,44,13,2,0,80,85,22-10-2020_13-54-51-nhagjzs4.png,,
Tjappies FC,Babu Xl,90:00,8,1,False,11,9,57,10,0,0,81,94,9,6,43,10,3,4,66,85,WL232.jpg,,
GOLIA TEAM,Tjappies FC,90:00,4,2,False,9,7,54,11,1,3,77,85,8,8,46,7,0,3,100,87,WL226.jpg,,
Tjappies FC,Solo FC,12.01,-1,-1,True,2,2,76,2,0,0,100,93,0,0,24,2,0,0,0,100,WL230.jpg,,
Tjappies FC,Nikil,45.00,-1,1,False,3,2,59,11,0,0,66,90,2,1,41,7,1,0,50,93,WL224.jpg,,
Whateverton FC,Tjappies FC,90:00,1,3,False,6,3,49,11,1,2,50,87,6,5,51,14,1,0,83,83,WL218.jpg,,
AC vostra,Tjappies FC,90:00,0,11,False,2,2,45,14,1,2,100,86,19,16,55,16,1,4,84,93,WL185.jpg,,
Tjappies FC,Juanita,32:18,-1,-1,True,5,5,50,1,0,1,100,91,2,1,50,2,0,1,50,93,WL191.jpg,,
Inazuma eleven,Tjappies FC,90.00,3,1,False,8,5,46,17,1,1,62,83,5,4,54,14,2,1,80,87,WL-5.jpg,,
Xantom CF,Tjappies FC,90:00,2,3,False,3,2,39,14,2,1,66,85,7,5,61,14,1,1,71,92,WL146.jpg,,
Fc Teamplay,Tjappies FC,7.57,-1,-1,True,0,0,37,0,0,0,0,81,2,1,63,0,0,0,50,100,WL152.jpg,,
Bizbiff FC,Tjappies FC,90:00,2,1,False,2,2,46,14,2,0,100,86,5,1,54,19,1,1,20,86,WL53.jpg,,
Iri FC,Tjappies FC,90:00,1,5,False,5,2,51,11,0,2,40,86,9,7,49,13,2,0,77,88,WL-34.jpg,,
Tjappies FC,Schnabelinho FC,90:00,4,3,False,7,6,56,14,0,1,85,86,6,6,44,18,3,3,100,85,WL-20.jpg,,
Tjappies FC,Coventry,90:00,2,1,False,4,2,51,10,0,1,50,85,3,2,49,11,2,1,66,92,WL344.jpg,,
2605 Serranos,Tjappies FC,120:00,-1,2,False,7,5,49,13,0,3,71,89,8,6,51,14,2,4,75,89,WL84.jpg,0.0,0.0
